caminho_atual,nome_atual,nome_proposto,categoria,confianca,duplicidade,observacoes
Photos-3-001/unnamed (11).webp,unnamed (11).webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-02.webp,05_CAMINHONETES,alto,nao,veiculo bem visivel; marca de posto no fundo
Photos-3-001/unnamed (12).webp,unnamed (12).webp,marcus-reboque-guincho-carro-fortaleza-ce-05.webp,04_CARROS,alto,nao,resolucao/compressao mais baixa
Photos-3-001/unnamed (13).webp,unnamed (13).webp,marcus-reboque-transporte-barco-fortaleza-ce-01.webp,09_BARCOS_E_JET_SKIS,alto,possivel semelhante a #059,"barco visivel, foto contra luz"
Photos-3-001/unnamed (14).webp,unnamed (14).webp,marcus-reboque-guincho-carro-fortaleza-ce-06.webp,04_CARROS,alto,nao,horizontal e limpa; boa para bloco de servico
Photos-3-001/unnamed (15).webp,unnamed (15).webp,marcus-reboque-hero-guincho-moto-fortaleza-ce-01.webp,02_HERO,alto,semelhante tematico a #036 e #044,"horizontal, caminh?o e motos claros"
Photos-3-001/unnamed (16).webp,unnamed (16).webp,marcus-reboque-hero-guincho-caminhonete-fortaleza-ce-02.webp,02_HERO,alto,possivel semelhante a #012,"horizontal, limpo e com boa leitura do veiculo"
Photos-3-001/unnamed (17).webp,unnamed (17).webp,marcus-reboque-transporte-empilhadeira-fortaleza-ce-01.webp,12_EMPILHADEIRAS,alto,nao,vertical; equipamento bem identificado
Photos-3-001/unnamed (18).webp,unnamed (18).webp,marcus-reboque-guincho-van-fortaleza-ce-02.webp,06_VANS,alto,nao,enquadramento fechado
Photos-3-001/unnamed (19).webp,unnamed (19).webp,marcus-reboque-atendimento-real-carro-danificado-fortaleza-ce-01.webp,20_ATENDIMENTOS_REAIS,alto,nao,veiculo batido; nao ha pessoas feridas visiveis; usar com cautela
Photos-3-001/unnamed (20).webp,unnamed (20).webp,marcus-reboque-guincho-van-fortaleza-ce-03.webp,06_VANS,alto,nao,processo de embarque visivel
Photos-3-001/unnamed (21).webp,unnamed (21).webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-03.webp,05_CAMINHONETES,alto,nao,"bom registro de embarque, com inclinacao"
Photos-3-001/unnamed (22).webp,unnamed (22).webp,marcus-reboque-hero-guincho-carro-fortaleza-ce-01.webp,02_HERO,alto,nao,"horizontal, veiculo e plataforma claros"
Photos-3-001/unnamed (23).webp,unnamed (23).webp,marcus-reboque-guincho-carro-fortaleza-ce-07.webp,04_CARROS,alto,possivel semelhante a #046,boa foto horizontal
Photos-3-001/unnamed (24).webp,unnamed (24).webp,marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-02.webp,14_PEQUENAS_CARGAS,alto,nao,carga longa e amarrada
Photos-3-001/unnamed (25).webp,unnamed (25).webp,marcus-reboque-guincho-pequeno-caminhao-fortaleza-ce-02.webp,13_PEQUENOS_CAMINHOES,alto,nao,"poste parcialmente na frente, mas veiculo claro"
Photos-3-001/unnamed (26).webp,unnamed (26).webp,marcus-reboque-guincho-carro-fortaleza-ce-08.webp,04_CARROS,alto,nao,enquadramento fechado
Photos-3-001/unnamed (27).webp,unnamed (27).webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-04.webp,05_CAMINHONETES,alto,nao,imagem inclinada; veiculo claramente visivel
Photos-3-001/unnamed (28).webp,unnamed (28).webp,marcus-reboque-caminhao-plataforma-fortaleza-ce-01.webp,15_CAMINHOES_E_PLATAFORMAS,alto,nao,mostra equipamento de transporte sem veiculo carregado
Photos-3-001/unnamed (29).webp,unnamed (29).webp,marcus-reboque-guincho-moto-fortaleza-ce-04.webp,03_MOTOS,alto,semelhante tematico a #022 e #044,boa presenca do caminhao e motos
Photos-3-001/unnamed (30).webp,unnamed (30).webp,marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-03.webp,14_PEQUENAS_CARGAS,alto,nao,carga diversa bem visivel
Photos-3-001/unnamed (31).webp,unnamed (31).webp,marcus-reboque-transporte-veiculo-antigo-fortaleza-ce-02.webp,11_VEICULOS_ANTIGOS,medio,nao,"parece veiculo antigo, mas modelo/ano nao comprovados"
Photos-3-001/unnamed (32).webp,unnamed (32).webp,marcus-reboque-guincho-van-fortaleza-ce-04.webp,06_VANS,alto,nao,boa foto horizontal
Photos-3-001/unnamed (33).webp,unnamed (33).webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-05.webp,05_CAMINHONETES,alto,nao,imagem escura e com pouco contraste
Photos-3-001/unnamed (34).webp,unnamed (34).webp,marcus-reboque-guincho-pequeno-caminhao-fortaleza-ce-03.webp,13_PEQUENOS_CAMINHOES,alto,nao,resolucao/compressao baixa
Photos-3-001/unnamed (35).webp,unnamed (35).webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-06.webp,05_CAMINHONETES,alto,nao,veiculo claro; fundo com posto
Photos-3-001/unnamed (36).webp,unnamed (36).webp,marcus-reboque-equipamentos-fixacao-fortaleza-ce-01.webp,16_EQUIPAMENTOS_E_FIXACAO,medio,nao,vertical; tipo exato do equipamento nao comprovado
Photos-3-001/unnamed (37).webp,unnamed (37).webp,marcus-reboque-guincho-moto-fortaleza-ce-05.webp,03_MOTOS,alto,semelhante tematico a #022 e #036,imagem limpa e clara
Photos-3-001/unnamed (38).webp,unnamed (38).webp,marcus-reboque-imagem-inadequada-carro-plataforma-fortaleza-ce-01.webp,25_INADEQUADAS_PARA_PUBLICACAO,medio,nao,plataforma sem identidade da empresa e placa/ambiente expostos
Photos-3-001/unnamed (39).webp,unnamed (39).webp,marcus-reboque-guincho-carro-fortaleza-ce-09.webp,04_CARROS,alto,possivel semelhante a #030,boa foto horizontal
Photos-3-001/unnamed (40).webp,unnamed (40).webp,marcus-reboque-guincho-carro-fortaleza-ce-10.webp,04_CARROS,alto,nao,veiculo e caminhao bem visiveis
Photos-3-001/unnamed (41).webp,unnamed (41).webp,marcus-reboque-equipamentos-fixacao-fortaleza-ce-02.webp,16_EQUIPAMENTOS_E_FIXACAO,alto,nao,amarra??o da carga e cintas visiveis
Photos-3-001/unnamed (42).webp,unnamed (42).webp,marcus-reboque-guincho-carro-fortaleza-ce-11.webp,04_CARROS,alto,nao,"angulo superior; bom veiculo, pouco espaco para texto"
Photos-3-001/unnamed (43).webp,unnamed (43).webp,marcus-reboque-transporte-veiculo-especial-fortaleza-ce-01.webp,08_VEICULOS_ESPECIAIS,alto,nao,marca/letreiro de terceiro ao fundo
Photos-3-001/unnamed (44).webp,unnamed (44).webp,marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-04.webp,14_PEQUENAS_CARGAS,medio,nao,pessoa parcialmente visivel; imagem vertical e com composicao apertada
Photos-3-001/unnamed (45).webp,unnamed (45).webp,marcus-reboque-atendimento-real-caminhonete-danificada-fortaleza-ce-01.webp,20_ATENDIMENTOS_REAIS,alto,nao,veiculo avariado; usar com cautela
Photos-3-001/unnamed (46).webp,unnamed (46).webp,marcus-reboque-equipamentos-fixacao-fortaleza-ce-03.webp,16_EQUIPAMENTOS_E_FIXACAO,medio,nao,tipo de equipamento nao identificado com seguranca
Photos-3-001/unnamed (47).webp,unnamed (47).webp,marcus-reboque-atendimento-noturno-fortaleza-ce-01.webp,19_ATENDIMENTO_NOTURNO,alto,nao,inclui equipe e caminhao; boa atmosfera para servico 24h
Photos-3-001/unnamed (48).webp,unnamed (48).webp,marcus-reboque-guincho-carro-fortaleza-ce-12.webp,04_CARROS,alto,nao,luz interna e enquadramento fechado
Photos-3-001/unnamed (49).webp,unnamed (49).webp,marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-05.webp,14_PEQUENAS_CARGAS,medio,nao,tipo exato da carga nao identificado
Photos-3-001/unnamed (50).webp,unnamed (50).webp,marcus-reboque-caminhao-plataforma-fortaleza-ce-02.webp,15_CAMINHOES_E_PLATAFORMAS,alto,nao,placas e letreiro de terceiro visiveis; usar com cautela
Photos-3-001/unnamed (51).webp,unnamed (51).webp,marcus-reboque-guincho-carro-fortaleza-ce-13.webp,04_CARROS,alto,possivel semelhante a #005 e #017,possivel mesma sequencia de atendimento do sedan vermelho
Photos-3-001/unnamed (52).webp,unnamed (52).webp,marcus-reboque-transporte-barco-fortaleza-ce-02.webp,09_BARCOS_E_JET_SKIS,alto,possivel semelhante a #020,barco bem visivel
Photos-3-001/unnamed (53).webp,unnamed (53).webp,marcus-reboque-transporte-maquina-agricola-fortaleza-ce-04.webp,10_MAQUINAS_AGRICOLAS,alto,nao,trator claramente identificavel
Photos-3-001/unnamed (54).webp,unnamed (54).webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-07.webp,05_CAMINHONETES,alto,nao,placa borrada/oculta; enquadramento fechado
Photos-3-001/unnamed (55).webp,unnamed (55).webp,marcus-reboque-guincho-moto-fortaleza-ce-06.webp,03_MOTOS,medio,nao,motos predominam; ha objeto/veiculo adicional na carga
Photos-3-001/unnamed (56).webp,unnamed (56).webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-08.webp,05_CAMINHONETES,alto,nao,veiculo cortado pelo enquadramento
Photos-3-001/unnamed (57).webp,unnamed (57).webp,marcus-reboque-hero-guincho-caminhonete-fortaleza-ce-03.webp,02_HERO,alto,nao,"horizontal, veiculo grande e caminhao bem enquadrados"
Photos-3-001/unnamed (58).webp,unnamed (58).webp,marcus-reboque-transporte-maquina-agricola-fortaleza-ce-05.webp,10_MAQUINAS_AGRICOLAS,alto,hash semelhante a #073; conteudo diferente,"bom registro, mas quadrado; hash similar a #073 por composicao"
Photos-3-001/unnamed (59).webp,unnamed (59).webp,marcus-reboque-imagem-inadequada-marca-terceiro-fortaleza-ce-01.webp,25_INADEQUADAS_PARA_PUBLICACAO,alto,nao,marca de terceiro muito proeminente
Photos-3-001/unnamed (60).webp,unnamed (60).webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-09.webp,05_CAMINHONETES,medio,nao,"parece SUV antigo, mas uso como caminhonete e mais seguro"
Photos-3-001/unnamed (61).webp,unnamed (61).webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-10.webp,05_CAMINHONETES,alto,nao,boa visualizacao do veiculo
Photos-3-001/unnamed (62).webp,unnamed (62).webp,marcus-reboque-imagem-inadequada-viatura-policial-fortaleza-ce-01.webp,25_INADEQUADAS_PARA_PUBLICACAO,alto,nao,marcas oficiais e contexto sensivel de seguranca publica
Photos-3-001/unnamed (63).webp,unnamed (63).webp,marcus-reboque-transporte-veiculo-especial-fortaleza-ce-02.webp,08_VEICULOS_ESPECIAIS,alto,nao,veiculo especial bem identificado
Photos-3-001/unnamed (64).webp,unnamed (64).webp,marcus-reboque-transporte-veiculo-antigo-fortaleza-ce-03.webp,11_VEICULOS_ANTIGOS,alto,nao,veiculo antigo bem caracterizado
Photos-3-001/unnamed (65).webp,unnamed (65).webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-11.webp,05_CAMINHONETES,alto,nao,boa foto de servico
Photos-3-001/unnamed (66).webp,unnamed (66).webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-12.webp,05_CAMINHONETES,alto,hash semelhante a #065; conteudo diferente,boa composicao com cidade ao fundo; hash similar a #065 por composicao
Photos-3-001/unnamed (67).webp,unnamed (67).webp,marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-06.webp,14_PEQUENAS_CARGAS,medio,nao,marca de terceiro no equipamento; usar com cautela
Photos-3-001/unnamed (68).webp,unnamed (68).webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-13.webp,05_CAMINHONETES,alto,nao,boa identificacao do servico
Photos-3-001/unnamed (69).webp,unnamed (69).webp,marcus-reboque-transporte-veiculo-especial-fortaleza-ce-03.webp,08_VEICULOS_ESPECIAIS,alto,nao,veiculo especial bem visivel
Photos-3-001/unnamed (70).webp,unnamed (70).webp,marcus-reboque-guincho-carro-fortaleza-ce-14.webp,04_CARROS,alto,nao,boa presenca do caminhao
Photos-3-001/unnamed (71).webp,unnamed (71).webp,marcus-reboque-guincho-carro-fortaleza-ce-15.webp,04_CARROS,alto,nao,"servico claro, imagem quadrada"
Photos-3-001/unnamed (72).webp,unnamed (72).webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-14.webp,05_CAMINHONETES,alto,nao,bom momento de embarque
Photos-3-001/unnamed (73).webp,unnamed (73).webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-15.webp,05_CAMINHONETES,alto,nao,imagem clara do veiculo
Photos-3-001/unnamed (74).webp,unnamed (74).webp,marcus-reboque-transporte-veiculo-antigo-fortaleza-ce-04.webp,11_VEICULOS_ANTIGOS,alto,nao,veiculo antigo bem destacado
Photos-3-001/unnamed (75).webp,unnamed (75).webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-16.webp,05_CAMINHONETES,alto,nao,"imagem clara, fundo urbano"
Photos-3-001/unnamed.webp,unnamed.webp,marcus-reboque-guincho-carro-fortaleza-ce-16.webp,04_CARROS,alto,nao,imagem clara do servico
