id,caminho,nome_arquivo,categoria,pagina_principal,secao_principal,paginas_secundarias,funcao_visual,prioridade,reutilizacao,qualidade,orientacao,alt_text,legenda,titulo_editorial,proporcao_recomendada,largura_recomendada,object_position,comportamento_mobile,status,observacoes
015,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/11_PEQUENOS_CAMINHOES/marcus-reboque-guincho-pequeno-caminhao-fortaleza-ce-01.webp,marcus-reboque-guincho-pequeno-caminhao-fortaleza-ce-01.webp,13_PEQUENOS_CAMINHOES,guincho para pequenos caminhoes,Imagem principal da pagina,nenhuma,imagem principal de pagina,P1,reutilizacao controlada: guincho para pequenos caminhoes: imagem principal; guincho para pequenos caminhoes: Open Graph,alta,horizontal,Pequeno caminhao vermelho transportado em caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Pequeno caminhao vermelho transportado em plataforma,16:9 ou 4:3 controlado,1200 px,center,exige recorte controlado,publicavel,"boa composicao horizontal, mas com letreiros de fundo"
017,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-04.webp,marcus-reboque-guincho-carro-fortaleza-ce-04.webp,04_CARROS,guincho para carros,Galeria / reserva editorial,nenhuma,galeria,P2,reutilizacao controlada: guincho para carros: galeria,alta,quadrada,Sedan vermelho sobre caminhao plataforma com logotipo da empresa no bau da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Sedan vermelho sobre plataforma com logotipo da,1:1,800 px,center,mesmo arquivo funciona,publicavel,boa presenca da marca Marcus Reboque
018,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-02.webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-02.webp,05_CAMINHONETES,guincho para caminhonetes,Cards de servicos,homepage; servicos,card de servico,P1,reutilizacao controlada: homepage: Cards dos tipos de veiculos e servicos; guincho para caminhonetes: card; servicos: secundaria,alta,quadrada,SUV/crossover preto sobre caminhao plataforma em posto da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,SUV/crossover preto sobre plataforma em posto,4:3 ou 1:1,640 px,center,mesmo arquivo funciona,publicavel,veiculo bem visivel; marca de posto no fundo
019,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-05.webp,marcus-reboque-guincho-carro-fortaleza-ce-05.webp,04_CARROS,guincho para carros,Reserva visual,nenhuma,galeria,P4,reserva sem reutilizacao prevista,baixa,quadrada,Hatch prata sobre caminhao plataforma em rodovia/area rural da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Hatch prata sobre plataforma em rodovia/area rural,1:1,800 px,center,mesmo arquivo funciona,reserva_publicavel,resolucao/compressao mais baixa
020,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/07_BARCOS_E_JET_SKIS/marcus-reboque-transporte-barco-fortaleza-ce-01.webp,marcus-reboque-transporte-barco-fortaleza-ce-01.webp,09_BARCOS_E_JET_SKIS,transporte de barcos e jet skis,Cards de servicos,homepage; servicos,card de servico,P1,reutilizacao controlada: homepage: Cards dos tipos de veiculos e servicos; transporte de barcos e jet skis: card; transporte de barcos e jet skis: prova; limitar usos para evitar repeticao,media,quadrada,Barco transportado em caminhao plataforma da Marcus Reboque,Barco transportado com apoio de caminhao plataforma.,Barco transportado em plataforma,4:3 ou 1:1,640 px,center,mesmo arquivo funciona,publicavel,"barco visivel, foto contra luz; usar com cautela por marcas/dados de terceiros"
021,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-06.webp,marcus-reboque-guincho-carro-fortaleza-ce-06.webp,04_CARROS,guincho para carros,Galeria / reserva editorial,homepage,galeria,P2,reutilizacao controlada: homepage: Galeria de atendimentos; guincho para carros: secundaria; homepage: galeria,alta,horizontal,Sedan branco sobre caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Sedan branco sobre plataforma,16:9 ou 4:3,800 px,center,mesmo arquivo funciona,publicavel,horizontal e limpa; boa para bloco de servico
022,IMAGENS_MARCUS_REBOQUE/02_HERO/marcus-reboque-hero-guincho-moto-fortaleza-ce-01.webp,marcus-reboque-hero-guincho-moto-fortaleza-ce-01.webp,02_HERO,guincho para motos,Hero interno / imagem principal,nenhuma,hero interno,P1,reutilizacao controlada: guincho para motos: imagem principal; guincho para motos: Open Graph,alta,horizontal,Motocicletas transportadas em plataforma da Marcus Reboque,,Motocicletas transportadas em plataforma,16:9 ou 4:3 controlado,1200 px,center,exige recorte controlado,publicavel,"horizontal, caminh?o e motos claros"
023,IMAGENS_MARCUS_REBOQUE/02_HERO/marcus-reboque-hero-guincho-caminhonete-fortaleza-ce-02.webp,marcus-reboque-hero-guincho-caminhonete-fortaleza-ce-02.webp,02_HERO,guincho para caminhonetes,Hero interno / imagem principal,nenhuma,hero interno,P1,reutilizacao controlada: guincho para caminhonetes: imagem principal; guincho para caminhonetes: Open Graph,alta,horizontal,SUV branco de grande porte sobre caminhao plataforma da Marcus Reboque,,SUV branco de grande porte sobre plataforma,16:9 ou 4:3 controlado,1200 px,center,exige recorte controlado,publicavel,"horizontal, limpo e com boa leitura do veiculo; usar com cautela por marcas/dados de terceiros"
024,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/10_EMPILHADEIRAS/marcus-reboque-transporte-empilhadeira-fortaleza-ce-01.webp,marcus-reboque-transporte-empilhadeira-fortaleza-ce-01.webp,12_EMPILHADEIRAS,transporte de empilhadeiras,Cards de servicos,homepage,card de servico,P1,reutilizacao controlada: homepage: Cards dos tipos de veiculos e servicos; transporte de empilhadeiras: imagem principal; transporte de empilhadeiras: card; limitar usos para evitar repeticao,media,vertical,Empilhadeira transportada em caminhao plataforma da Marcus Reboque,Transporte de empilhadeira em caminhao plataforma.,Empilhadeira transportada em plataforma,4:3 ou 1:1,640 px,center,mesmo arquivo funciona,publicavel,vertical; equipamento bem identificado
025,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/04_VANS/marcus-reboque-guincho-van-fortaleza-ce-02.webp,marcus-reboque-guincho-van-fortaleza-ce-02.webp,06_VANS,guincho para vans,Galeria / reserva editorial,nenhuma,galeria,P3,reutilizacao controlada: guincho para vans: secundaria,media,quadrada,Van de passageiros sobre caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Van de passageiros sobre plataforma,1:1,800 px,right center,mesmo arquivo funciona,publicavel,enquadramento fechado
026,IMAGENS_MARCUS_REBOQUE/10_ATENDIMENTOS_REAIS/marcus-reboque-atendimento-real-carro-danificado-fortaleza-ce-01.webp,marcus-reboque-atendimento-real-carro-danificado-fortaleza-ce-01.webp,20_ATENDIMENTOS_REAIS,transporte emergencial,Imagem principal da pagina,homepage,imagem principal de pagina,P1,reutilizacao controlada: homepage: Tipos de atendimento; transporte emergencial: imagem principal; transporte emergencial: Open Graph; limitar usos para evitar repeticao,media,quadrada,Carro danificado em atendimento de guincho com caminhao plataforma,Registro operacional de atendimento real; usar com linguagem cuidadosa.,Carro branco danificado em atendimento de guincho,16:9 ou 4:3 controlado,1200 px,center,mesmo arquivo funciona,publicavel_com_cautela,veiculo batido; nao ha pessoas feridas visiveis; usar com cautela
027,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/04_VANS/marcus-reboque-guincho-van-fortaleza-ce-03.webp,marcus-reboque-guincho-van-fortaleza-ce-03.webp,06_VANS,guincho para vans,Galeria / reserva editorial,nenhuma,galeria,P3,reutilizacao controlada: guincho para vans: prova; guincho para vans: secundaria,media,quadrada,Van de passageiros sendo puxada para plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Van de passageiros sendo puxada para plataforma,1:1,800 px,right center,mesmo arquivo funciona,publicavel,processo de embarque visivel
028,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-03.webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-03.webp,05_CAMINHONETES,homepage,Secao operacional da homepage,guincho para caminhonetes,prova operacional,P2,reutilizacao controlada: homepage: Como funciona; guincho para caminhonetes: secundaria; homepage: secundaria,media,quadrada,SUV prata subindo em prancha inclinada,Veiculo transportado em caminhao plataforma da Marcus Reboque.,SUV prata subindo em prancha inclinada,1:1,800 px,left center,mesmo arquivo funciona,publicavel,"bom registro de embarque, com inclinacao"
029,IMAGENS_MARCUS_REBOQUE/02_HERO/marcus-reboque-hero-guincho-carro-fortaleza-ce-01.webp,marcus-reboque-hero-guincho-carro-fortaleza-ce-01.webp,02_HERO,guincho para carros,Hero interno / imagem principal,nenhuma,hero interno,P1,reutilizacao controlada: guincho para carros: imagem principal; guincho para carros: Open Graph,alta,horizontal,Sedan preto sobre caminhao plataforma em rua residencial da Marcus Reboque,,Sedan preto sobre plataforma em rua residencial,16:9 ou 4:3 controlado,1200 px,center,exige recorte controlado,publicavel,"horizontal, veiculo e plataforma claros"
030,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-07.webp,marcus-reboque-guincho-carro-fortaleza-ce-07.webp,04_CARROS,guincho para carros,Galeria / reserva editorial,nenhuma,galeria,P2,reutilizacao controlada: guincho para carros: secundaria,alta,horizontal,Hatch vermelho sobre caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Hatch vermelho sobre plataforma,16:9 ou 4:3,800 px,center,mesmo arquivo funciona,publicavel,boa foto horizontal
031,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/12_PEQUENAS_CARGAS/marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-02.webp,marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-02.webp,14_PEQUENAS_CARGAS,transporte de pequenas cargas,Imagem principal da pagina,homepage,imagem principal de pagina,P1,reutilizacao controlada: homepage: Galeria de atendimentos; transporte de pequenas cargas: imagem principal; transporte de pequenas cargas: Open Graph; limitar usos para evitar repeticao,media,quadrada,Barras/perfis metalicos transportados em plataforma da Marcus Reboque,Transporte programado de pequenas cargas em plataforma.,Barras/perfis metalicos transportados em plataforma,16:9 ou 4:3 controlado,1200 px,center,mesmo arquivo funciona,publicavel,carga longa e amarrada
032,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/11_PEQUENOS_CAMINHOES/marcus-reboque-guincho-pequeno-caminhao-fortaleza-ce-02.webp,marcus-reboque-guincho-pequeno-caminhao-fortaleza-ce-02.webp,13_PEQUENOS_CAMINHOES,guincho para pequenos caminhoes,Cards de servicos,homepage,card de servico,P1,reutilizacao controlada: homepage: Cards dos tipos de veiculos e servicos; guincho para pequenos caminhoes: card,alta,horizontal,Pequeno caminhao bau sobre caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Pequeno caminhao bau sobre plataforma,4:3 ou 1:1,640 px,center,mesmo arquivo funciona,publicavel,"poste parcialmente na frente, mas veiculo claro"
033,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-08.webp,marcus-reboque-guincho-carro-fortaleza-ce-08.webp,04_CARROS,guincho para carros,Galeria / reserva editorial,nenhuma,galeria,P3,reserva sem reutilizacao prevista,media,quadrada,Carro branco sobre caminhao plataforma com cone de seguranca da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Carro branco sobre plataforma com cone de,1:1,800 px,center,mesmo arquivo funciona,publicavel,enquadramento fechado; usar com cautela por marcas/dados de terceiros
034,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-04.webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-04.webp,05_CAMINHONETES,guincho para caminhonetes,Galeria / reserva editorial,nenhuma,galeria,P3,reutilizacao controlada: guincho para caminhonetes: galeria,media,quadrada,SUV/caminhonete preta em prancha inclinada,Veiculo transportado em caminhao plataforma da Marcus Reboque.,SUV/caminhonete preta em prancha inclinada,1:1,800 px,left center,mesmo arquivo funciona,publicavel,imagem inclinada; veiculo claramente visivel
035,IMAGENS_MARCUS_REBOQUE/05_CAMINHOES_E_PLATAFORMAS/marcus-reboque-caminhao-plataforma-fortaleza-ce-01.webp,marcus-reboque-caminhao-plataforma-fortaleza-ce-01.webp,15_CAMINHOES_E_PLATAFORMAS,sobre a Marcus Reboque,Frota e plataforma,guias e conteudos informacionais,equipamento,P3,reutilizacao controlada: guias e conteudos informacionais: imagem principal; guias e conteudos informacionais: Open Graph,media,quadrada,Caminhao plataforma vazio em via urbana da Marcus Reboque,,Caminhao plataforma vazio em via urbana,1:1,800 px,center,mesmo arquivo funciona,publicavel,mostra equipamento de transporte sem veiculo carregado
036,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/01_MOTOS/marcus-reboque-guincho-moto-fortaleza-ce-04.webp,marcus-reboque-guincho-moto-fortaleza-ce-04.webp,03_MOTOS,guincho para motos,Galeria / reserva editorial,homepage,galeria,P2,reutilizacao controlada: homepage: Galeria de atendimentos; guincho para motos: secundaria; guincho para motos: galeria; limitar usos para evitar repeticao,alta,horizontal,Motocicletas sobre caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Motocicletas sobre caminhao plataforma,16:9 ou 4:3,800 px,center,mesmo arquivo funciona,publicavel,boa presenca do caminhao e motos
037,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/12_PEQUENAS_CARGAS/marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-03.webp,marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-03.webp,14_PEQUENAS_CARGAS,transporte de pequenas cargas,Galeria / reserva editorial,nenhuma,galeria,P3,reutilizacao controlada: transporte de pequenas cargas: secundaria,media,quadrada,Carga pequena com caixas d agua/tambores e madeiras na plataforma da Marcus Reboque,Transporte programado de pequenas cargas em plataforma.,Carga pequena com caixas d agua/tambores e,1:1,800 px,center,mesmo arquivo funciona,publicavel,carga diversa bem visivel
039,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/04_VANS/marcus-reboque-guincho-van-fortaleza-ce-04.webp,marcus-reboque-guincho-van-fortaleza-ce-04.webp,06_VANS,guincho para vans,Imagem principal da pagina,nenhuma,imagem principal de pagina,P1,reutilizacao controlada: guincho para vans: imagem principal; guincho para vans: Open Graph,alta,horizontal,Minivan/van vermelha sobre caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Minivan/van vermelha sobre plataforma,16:9 ou 4:3 controlado,1200 px,center,exige recorte controlado,publicavel,boa foto horizontal
040,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-05.webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-05.webp,05_CAMINHONETES,guincho para caminhonetes,Reserva visual,nenhuma,galeria,P4,reserva sem reutilizacao prevista,baixa,quadrada,Picape prata sobre caminhao plataforma em luz baixa da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Picape prata sobre plataforma em luz baixa,1:1,800 px,center,mesmo arquivo funciona,reserva_publicavel,imagem escura e com pouco contraste
041,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/11_PEQUENOS_CAMINHOES/marcus-reboque-guincho-pequeno-caminhao-fortaleza-ce-03.webp,marcus-reboque-guincho-pequeno-caminhao-fortaleza-ce-03.webp,13_PEQUENOS_CAMINHOES,guincho para pequenos caminhoes,Reserva visual,nenhuma,galeria,P4,reutilizacao controlada: guincho para pequenos caminhoes: secundaria,baixa,quadrada,Pequeno caminhao bau transportado sobre caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Pequeno caminhao bau transportado sobre plataforma,1:1,800 px,center,mesmo arquivo funciona,reserva_publicavel,resolucao/compressao baixa
042,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-06.webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-06.webp,05_CAMINHONETES,guincho para caminhonetes,Galeria / reserva editorial,nenhuma,galeria,P3,reutilizacao controlada: guincho para caminhonetes: galeria,media,quadrada,Picape verde sobre caminhao plataforma em posto da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Picape verde sobre plataforma em posto,1:1,800 px,center,mesmo arquivo funciona,publicavel,veiculo claro; fundo com posto
044,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/01_MOTOS/marcus-reboque-guincho-moto-fortaleza-ce-05.webp,marcus-reboque-guincho-moto-fortaleza-ce-05.webp,03_MOTOS,guincho para motos,Galeria / reserva editorial,nenhuma,galeria,P2,reutilizacao controlada: guincho para motos: prova,alta,quadrada,Motocicleta em caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Motocicleta em caminhao plataforma,1:1,800 px,center,mesmo arquivo funciona,publicavel,imagem limpa e clara
046,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-09.webp,marcus-reboque-guincho-carro-fortaleza-ce-09.webp,04_CARROS,guincho para carros,Galeria / reserva editorial,nenhuma,galeria,P2,reutilizacao controlada: guincho para carros: secundaria,alta,horizontal,Hatch vermelho sobre caminhao plataforma em rua residencial da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Hatch vermelho sobre plataforma em rua residencial,16:9 ou 4:3,800 px,center,mesmo arquivo funciona,publicavel,boa foto horizontal
047,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-10.webp,marcus-reboque-guincho-carro-fortaleza-ce-10.webp,04_CARROS,guincho para carros,Galeria / reserva editorial,nenhuma,galeria,P2,reutilizacao controlada: guincho para carros: prova,alta,quadrada,Sedan preto sobre caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Sedan preto sobre plataforma,1:1,800 px,center,mesmo arquivo funciona,publicavel,veiculo e caminhao bem visiveis
048,IMAGENS_MARCUS_REBOQUE/06_EQUIPAMENTOS_E_FIXACAO/marcus-reboque-equipamentos-fixacao-fortaleza-ce-02.webp,marcus-reboque-equipamentos-fixacao-fortaleza-ce-02.webp,16_EQUIPAMENTOS_E_FIXACAO,guias e conteudos informacionais,Secao operacional da homepage,homepage; transporte de pequenas cargas; servicos,prova operacional,P2,reutilizacao controlada: homepage: Diferenciais; transporte de pequenas cargas: prova; homepage: secundaria; limitar usos para evitar repeticao,media,quadrada,Chapas metalicas amarradas com cinta sobre caminhao plataforma,Fixacao de carga na plataforma antes do transporte.,Chapas/perfis metalicos amarrados na plataforma,1:1,800 px,center,mesmo arquivo funciona,publicavel,amarra??o da carga e cintas visiveis
049,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-11.webp,marcus-reboque-guincho-carro-fortaleza-ce-11.webp,04_CARROS,guincho para carros,Galeria / reserva editorial,nenhuma,galeria,P3,reserva sem reutilizacao prevista,media,quadrada,Carro esportivo preto/vermelho sobre caminhao plataforma em rodovia da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Carro esportivo preto/vermelho sobre plataforma em rodovia,1:1,800 px,center,mesmo arquivo funciona,publicavel,"angulo superior; bom veiculo, pouco espaco para texto"
