pagina,imagem_principal,imagem_card,imagens_secundarias,imagem_prova,imagem_og,galeria,cobertura_visual,pendencias,observacoes
guincho para pequenos caminhoes,#015 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/11_PEQUENOS_CAMINHOES/marcus-reboque-guincho-pequeno-caminhao-fortaleza-ce-01.webp,#032 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/11_PEQUENOS_CAMINHOES/marcus-reboque-guincho-pequeno-caminhao-fortaleza-ce-02.webp,#041 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/11_PEQUENOS_CAMINHOES/marcus-reboque-guincho-pequeno-caminhao-fortaleza-ce-03.webp,nenhuma,#015 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/11_PEQUENOS_CAMINHOES/marcus-reboque-guincho-pequeno-caminhao-fortaleza-ce-01.webp,nenhuma,SUFICIENTE,#041 tem qualidade baixa; usar como reserva,Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
transporte de pequenas cargas,#031 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/12_PEQUENAS_CARGAS/marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-02.webp,#002 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/12_PEQUENAS_CARGAS/marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-01.jpg,#037 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/12_PEQUENAS_CARGAS/marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-03.webp,#048 IMAGENS_MARCUS_REBOQUE/06_EQUIPAMENTOS_E_FIXACAO/marcus-reboque-equipamentos-fixacao-fortaleza-ce-02.webp,#031 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/12_PEQUENAS_CARGAS/marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-02.webp,nenhuma,FORTE,imagens pendentes podem ampliar variedade no futuro,Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
auto socorro 24 horas,#054 IMAGENS_MARCUS_REBOQUE/09_ATENDIMENTO_NOTURNO/marcus-reboque-atendimento-noturno-fortaleza-ce-01.webp,#008 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/01_MOTOS/marcus-reboque-guincho-moto-fortaleza-ce-02.webp,#052 IMAGENS_MARCUS_REBOQUE/10_ATENDIMENTOS_REAIS/marcus-reboque-atendimento-real-caminhonete-danificada-fortaleza-ce-01.webp,nenhuma,#054 IMAGENS_MARCUS_REBOQUE/09_ATENDIMENTO_NOTURNO/marcus-reboque-atendimento-noturno-fortaleza-ce-01.webp,nenhuma,SUFICIENTE,usar imagens de avaria com linguagem cuidadosa,Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
transporte emergencial,#026 IMAGENS_MARCUS_REBOQUE/10_ATENDIMENTOS_REAIS/marcus-reboque-atendimento-real-carro-danificado-fortaleza-ce-01.webp,#052 IMAGENS_MARCUS_REBOQUE/10_ATENDIMENTOS_REAIS/marcus-reboque-atendimento-real-caminhonete-danificada-fortaleza-ce-01.webp,nenhuma,nenhuma,#026 IMAGENS_MARCUS_REBOQUE/10_ATENDIMENTOS_REAIS/marcus-reboque-atendimento-real-carro-danificado-fortaleza-ce-01.webp,nenhuma,SUFICIENTE,nao afirmar emergencia quando a cena nao comprovar,Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
transporte programado,#002 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/12_PEQUENAS_CARGAS/marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-01.jpg,#055 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-12.webp,nenhuma,nenhuma,#002 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/12_PEQUENAS_CARGAS/marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-01.jpg,nenhuma,FORTE,nenhuma pendencia critica para lancamento,Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
homepage,#064 IMAGENS_MARCUS_REBOQUE/02_HERO/marcus-reboque-hero-guincho-caminhonete-fortaleza-ce-03.webp,nenhuma,#052 IMAGENS_MARCUS_REBOQUE/10_ATENDIMENTOS_REAIS/marcus-reboque-atendimento-real-caminhonete-danificada-fortaleza-ce-01.webp | #028 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-03.webp | #054 IMAGENS_MARCUS_REBOQUE/09_ATENDIMENTO_NOTURNO/marcus-reboque-atendimento-noturno-fortaleza-ce-01.webp | #048 IMAGENS_MARCUS_REBOQUE/06_EQUIPAMENTOS_E_FIXACAO/marcus-reboque-equipamentos-fixacao-fortaleza-ce-02.webp | #057 IMAGENS_MARCUS_REBOQUE/05_CAMINHOES_E_PLATAFORMAS/marcus-reboque-caminhao-plataforma-fortaleza-ce-02.webp,#026 IMAGENS_MARCUS_REBOQUE/10_ATENDIMENTOS_REAIS/marcus-reboque-atendimento-real-carro-danificado-fortaleza-ce-01.webp,#064 IMAGENS_MARCUS_REBOQUE/02_HERO/marcus-reboque-hero-guincho-caminhonete-fortaleza-ce-03.webp,#036 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/01_MOTOS/marcus-reboque-guincho-moto-fortaleza-ce-04.webp | #021 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-06.webp | #059 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/07_BARCOS_E_JET_SKIS/marcus-reboque-transporte-barco-fortaleza-ce-02.webp | #065 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/08_MAQUINAS_AGRICOLAS/marcus-reboque-transporte-maquina-agricola-fortaleza-ce-05.webp | #081 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/09_VEICULOS_ANTIGOS/marcus-reboque-transporte-veiculo-antigo-fortaleza-ce-04.webp | #031 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/12_PEQUENAS_CARGAS/marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-02.webp,FORTE,hero exclusivo; exige versao mobile futura,Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
servicos,#001 IMAGENS_MARCUS_REBOQUE/01_IDENTIDADE_VISUAL/marcus-reboque-logotipo-fortaleza-ce-01.png,nenhuma,#004 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-01.jpg | #007 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/01_MOTOS/marcus-reboque-guincho-moto-fortaleza-ce-01.jpg | #018 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-02.webp | #006 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/04_VANS/marcus-reboque-guincho-van-fortaleza-ce-01.jpg | #050 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/06_VEICULOS_ESPECIAIS/marcus-reboque-transporte-veiculo-especial-fortaleza-ce-01.webp | #020 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/07_BARCOS_E_JET_SKIS/marcus-reboque-transporte-barco-fortaleza-ce-01.webp,#048 IMAGENS_MARCUS_REBOQUE/06_EQUIPAMENTOS_E_FIXACAO/marcus-reboque-equipamentos-fixacao-fortaleza-ce-02.webp,#001 IMAGENS_MARCUS_REBOQUE/01_IDENTIDADE_VISUAL/marcus-reboque-logotipo-fortaleza-ce-01.png,nenhuma,FORTE,nao substituir o card de utilitarios por foto de outra categoria,Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
areas atendidas,#073 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-12.webp,nenhuma,nenhuma,nenhuma,#073 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-12.webp,nenhuma,SUFICIENTE,nao citar bairros sem fonte textual; imagem so cria contexto urbano,Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
sobre a Marcus Reboque,#001 IMAGENS_MARCUS_REBOQUE/01_IDENTIDADE_VISUAL/marcus-reboque-logotipo-fortaleza-ce-01.png,nenhuma,#057 IMAGENS_MARCUS_REBOQUE/05_CAMINHOES_E_PLATAFORMAS/marcus-reboque-caminhao-plataforma-fortaleza-ce-02.webp,#057 IMAGENS_MARCUS_REBOQUE/05_CAMINHOES_E_PLATAFORMAS/marcus-reboque-caminhao-plataforma-fortaleza-ce-02.webp,#001 IMAGENS_MARCUS_REBOQUE/01_IDENTIDADE_VISUAL/marcus-reboque-logotipo-fortaleza-ce-01.png,nenhuma,SUFICIENTE,faltam fotos dedicadas de equipe/base,Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
avaliacoes,#001 IMAGENS_MARCUS_REBOQUE/01_IDENTIDADE_VISUAL/marcus-reboque-logotipo-fortaleza-ce-01.png,nenhuma,nenhuma,nenhuma,#001 IMAGENS_MARCUS_REBOQUE/01_IDENTIDADE_VISUAL/marcus-reboque-logotipo-fortaleza-ce-01.png,nenhuma,FRACA,sem imagem dedicada de cliente; priorizar texto e widgets,Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
contato,#001 IMAGENS_MARCUS_REBOQUE/01_IDENTIDADE_VISUAL/marcus-reboque-logotipo-fortaleza-ce-01.png,nenhuma,#001 IMAGENS_MARCUS_REBOQUE/01_IDENTIDADE_VISUAL/marcus-reboque-logotipo-fortaleza-ce-01.png,nenhuma,#001 IMAGENS_MARCUS_REBOQUE/01_IDENTIDADE_VISUAL/marcus-reboque-logotipo-fortaleza-ce-01.png,nenhuma,SUFICIENTE,usar imagem noturna como apoio ao contato 24h,Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
guias e conteudos informacionais,#035 IMAGENS_MARCUS_REBOQUE/05_CAMINHOES_E_PLATAFORMAS/marcus-reboque-caminhao-plataforma-fortaleza-ce-01.webp,nenhuma,nenhuma,nenhuma,#035 IMAGENS_MARCUS_REBOQUE/05_CAMINHOES_E_PLATAFORMAS/marcus-reboque-caminhao-plataforma-fortaleza-ce-01.webp,nenhuma,SUFICIENTE,conteudos tecnicos podem usar recortes explicativos no futuro,Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
